GO, 0 0 0 0 0 0 0 0 0
Mediterranean Ave, 2 10 30 90 160 250 30 50 50
Community Chest, 0 0 0 0 0 0 0 0 0
Baltic Ave, 4 20 60 180 320 450 30 50 50
Income Tax, 0 0 0 0 0 0 0 0 0
Reading Railroad, 0 0 0 0 0 0 0 0 0 
Oriental Ave, 6 30 90 270 400 550 50 50 50
Chance Card, 0 0 0 0 0 0 0 0 0
Vermont Ave, 6 30 90 270 400 550 50 50 50
Connecticut Ave, 8 40 100 300 450 600 60 50 50
Jail, 0 0 0 0 0 0 0 0 0
St. Charles Place, 10 50 150 450 625 750 70 100 100
Electric Company,  0 0 0 0 0 0 0 0 0 0
States Ave, 10 50 150 450 625 750 70 100 100
Virginia Ave, 12 60 180 500 700 900 80 100 100
Pennsylvania Railroad, 0 0 0 0 0 0 0 0 0 0
St. James Place, 14 70 200 550 750 950 90 100 100
Community Chest, 0 0 0 0 0 0 0 0 0
Tennessee Ave, 14 70 200 550 750 950 90 100 100
New York Ave, 16 80 220 600 800 1000 100 100 100
Free Parking, 0 0 0 0 0 0 0 0 0
Kentucky Ave, 18 90 250 700 875 1050 110 150 150
Chance Card, 0 0 0 0 0 0 0 0 0
Indiana Ave, 18 90 250 700 875 1050 110 150 150
Illinois Ave, 20 100 300 750 925 1100 120 150 150
B&O Railroad, 0 0 0 0 0 0 0 0 0 0
Atlantic Ave, 22 110 330 800 975 1150 130 150 150
Ventnor Ave, 22 110 330 800 975 1150 130 150 150
Waterworks,  0 0 0 0 0 0 0 0 0 0
Marvin Gardens, 24 120 360 850 1025 1200 140 150 150
Go To Jail, 0 0 0 0 0 0 0 0 0 0
Pacific Ave, 26 130 390 900 1100 1275 150 200 200
North Carolina Ave, 26 130 390 900 1100 1275 150 200 200
Community Chest, 0 0 0 0 0 0 0 0 0
Pennsylvania Ave, 28 150 450 1000 1200 1400 160 200 200
Short Line Railroad,  0 0 0 0 0 0 0 0 0 0
Chance Card, 0 0 0 0 0 0 0 0 0
Park Place, 35 175 500 1100 1300 1500 175 200 200
Luxury Tax, 0 0 0 0 0 0 0 0 0
Boardwalk, 50 200 600 1400 1700 2000 200 200 200

